ID,ID_CI,ct_inicio,impacto,delito,modalidad_delito,fecha,calle1_hechos,calle2_hechos,colonia_hechos,alcaldia_hechos,ct_hechos,cord_x,cord_y
1,9881544,IZP-9,ALTO IMPACTO,LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,LESIONES INTENCIONALES POR ARMA DE FUEGO,31/12/2024,HOSPITAL GENERAL DE IZTAPALAPA,SIN REGISTRO,SIN REGISTRO,IZTAPALAPA,FIIZP-0,SIN REGISTRO,SIN REGISTRO
2,9881555,GAM-2,ALTO IMPACTO,LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,LESIONES INTENCIONALES POR ARMA DE FUEGO,01/01/2025,JOSE A CLAVE,PAGANINI,VALLEJO,GUSTAVO A MADERO,GAM-6,-99.13387924,19.46616991
3,9881564,UAT-AO-4,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,01/01/2025,PELICANO,SIN REGISTRO,GRANJAS MODERNAS,GUSTAVO A MADERO,GAM-7,-99.10292655,19.47661389
4,9881579,FDS-7,ALTO IMPACTO,VIOLACIÓN,VIOLACION,06/09/2023,AVENUDA ARTEAGA Y SALAZAR,SIN REGISTRO,CONTADERO,CUAJIMALPA DE MORELOS,CJ-2,-99.30842727,19.33951859
5,9881629,IZP-6,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,01/01/2025,CERRADA JARRITO,SIN REGISTRO,LOMAS DE LA ESTANCIA,IZTAPALAPA,IZP-10,-99.00555083,19.33484067
6,9881630,TLP-3,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE VEHICULO DE SERVICIO PARTICULAR CON VIOLENCIA,01/01/2025,CIRCUITO PICACHO,CAMINO VIEJO A SAN ANDRES,SAN MIGUEL AJUSCO,TLALPAN,TLP-2,-99.21927273,19.23224401
7,9881638,UAT-TLH-1,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,30/12/2024,LA TURBA,BOHEMIA,MIGUEL HIDALGO,TLAHUAC,TLH-1,-99.04856488,19.28717146
8,9881652,59,ALTO IMPACTO,VIOLACIÓN,VIOLACION EQUIPARADA,31/01/2024,ORIENTE 172,SIN REGISTRO,MOCTEZUMA 2A SECCIÓN,VENUSTIANO CARRANZA,VC-2,-99.09351249,19.42933862
9,9881701,UAT-GAM-3,ALTO IMPACTO,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,31/12/2024,PONIENTE 134,SIN REGISTRO,NUEVA VALLEJO,GUSTAVO A MADERO,GAM-3,-99.14905143,19.49118932
10,9881768,D,ALTO IMPACTO,HOMICIDIO DOLOSO,HOMICIDIO POR ARMA DE FUEGO,01/01/2025,ROSALIO BUSTAMANTE,NO SE ESPECIFICA,SANTA MARTHA ACATITLA SUR,IZTAPALAPA,IZP-6,-99.02337626,19.37605954
11,9881773,CUH-2,ALTO IMPACTO,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,01/01/2025,DOCTOR OLVERA,NIÑOS HEROES,DOCTORES,CUAUHTEMOC,CUH-8,-99.15070139,19.41561522
12,9881774,ORIENTEII,ALTO IMPACTO,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA,ROBO DE MOTOCICLETA SIN VIOLENCIA,11/08/2023,DIVISION DEL NORTE,NO SE ESPECIFICA,GENERAL PEDRO MARIA ANAYA,BENITO JUAREZ,BJ-4,-99.15403327,19.36060487
13,9881786,AZ-2,ALTO IMPACTO,LESIONES DOLOSAS POR DISPARO DE ARMA DE FUEGO,LESIONES INTENCIONALES POR ARMA DE FUEGO,01/01/2025,FORTUNATO ZUAZUA,VICTOR HERNANDEZ COVARUBIAS,SAN JUAN TLIHUACA,AZCAPOTZALCO,AZ-2,-99.20457691,19.49292335
