ID,ID_CI,ct_inicio,impacto,delito,modalidad_delito,fecha,calle1_hechos,calle2_hechos,colonia_hechos,alcaldia_hechos,ct_hechos,cord_x,cord_y,
1,9881574,COY-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,REY MOCTEZUMA,SIN REGISTRO,AJUSCO,COYOACAN,COY-4,-99.15758455,19.32890745,
2,9881589,59,BAJO IMPACTO,DELITO DE BAJO IMPACTO,ABUSO SEXUAL,01/01/2025,SUR 141,NO SE ESPECIFICA,AMPLIACIÓN GABRIEL RAMOS MILLÁN,IZTACALCO,IZC-2,-99.09850259,19.39042177,
3,9881594,CJM-IZP,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,28/12/2024,JAZMIN,SIN REGISTRO,LOMAS DE SAN LORENZO,IZTAPALAPA,IZP-8,-99.05916901,19.31661583,
4,9881595,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,HILARIO ELGUERA,SIN REGISTRO,SAN MIGUEL,IZTACALCO,IZC-1,-99.1153277,19.39305887,
5,9881599,COY-4,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,24/12/2024,TECACALO,SIN REGISTRO,ADOLFO RUIZ CORTINES,COYOACAN,COY-4,-99.14638025,19.31853912,
6,9881604,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,31/12/2024,NORTE 58 A,ORIENTE 91,MÁRTIRES DE RÍO BLANCO,GUSTAVO A MADERO,GAM-7,-99.11560229,19.46222589,
7,9881608,75,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,SAN LUIS,SIN REGISTRO,CORPUS CHRISTY,ALVARO OBREGON,AO-2,-99.2483514,19.35861139,
8,9881616,TLH-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,TERCER CALLEJON DE EMILIANO ZAPATA,SIN REGISTRO,LOS REYES,TLAHUAC,TLH-2,-99.0059029,19.26626482,
9,9881620,UAT-CUJ-1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,28/12/2024,VERACRUZ,OCAMPO,CUAJIMALPA,CUAJIMALPA DE MORELOS,CJ-1,-99.29888829,19.35425756,
10,9881622,H1,BAJO IMPACTO,DELITO DE BAJO IMPACTO,LESIONES INTENCIONALES POR GOLPES,01/01/2025,CAMINO DEL EXITO A,SIN REGISTRO,CAMPESTRE ARAGÓN,GUSTAVO A MADERO,GAM-5,-99.08029005,19.48698007,
11,9881648,AO-2,BAJO IMPACTO,DELITO DE BAJO IMPACTO,VIOLENCIA FAMILIAR,01/01/2025,CEDROS,NO SE ESPECIFICA,MINA LOS COYOTES,ALVARO OBREGON,AO-2,-99.21962623,19.36016829,
