id,host_id,colonia,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,bathrooms,beds,price_num,log_price,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,overall_rating,cleanliness_rating,communication_rating,location_rating,value_rating,safety_rating,first_review,last_review,number_of_reviews
35797,153786,Cuajimalpa de Morelos,"Mexico City, D.f., Mexico",Cuajimalpa de Morelos,19.38283,-99.27178,Entire villa,Entire home/apt,2,1,1,1,3799,8.242493153187626,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
56074,265650,Cuauhtémoc,"Mexico City, DF, Mexico",Cuauhtémoc,19.43977,-99.15605,Entire condo,Entire home/apt,2,1,1,1,585,6.371611847231857,30,17550,4.87,4.95,4.88,4.94,4.76,4.79,NA,NA,NA,NA,NA,NA,2011-04-02,2025-02-27,84
67703,334451,Cuauhtémoc,NA,Cuauhtémoc,19.41152,-99.16857,Entire rental unit,Entire home/apt,4,2,1,2,1696,7.4360278163518485,6,10176,4.9,4.82,4.76,4.92,4.98,4.92,NA,NA,NA,NA,NA,NA,2011-11-17,2024-10-30,50
70644,212109,Coyoacán,"Mexico City, Federal District, Mexico",Coyoacán,19.35448,-99.16217,Entire rental unit,Entire home/apt,2,1,1,1,1004,6.911747300251674,48,48192,4.92,4.91,4.96,4.98,4.96,4.92,NA,NA,NA,NA,NA,NA,2012-02-14,2024-12-28,132
165772,790208,Miguel Hidalgo,"Mexico City, Federal District, Mexico",Miguel Hidalgo,19.40826,-99.18659,Entire home,Entire home/apt,16,5,5,10,4071,8.31164394850298,186,757206,4.88,4.91,4.83,4.88,4.75,4.9,5,4.5,4,5,4.5,4.5,2011-07-28,2025-05-27,383
171109,816295,Benito Juárez,"Mexico City, Federal District, Mexico",Benito Juárez,19.39675,-99.17581,Private room in rental unit,Private room,2,1,1,1,315,5.752572638825633,80,25200,4.84,4.86,4.61,4.95,4.96,4.82,NA,NA,NA,NA,NA,NA,2014-03-18,2025-06-23,117
180808,36836,Cuauhtémoc,"Colonia Juárez, Ciudad de México, Mexico",Cuauhtémoc,19.4239,-99.1689,Entire loft,Entire home/apt,2,1,1.5,1,1412,7.252762418053187,54,76248,4.82,4.9,4.77,4.9,4.9,4.75,NA,NA,NA,NA,NA,NA,2012-04-25,2025-05-24,60
1286695,6998716,Miguel Hidalgo,"Mexico City, Federal District, Mexico",Miguel Hidalgo,19.43514,-99.18361,Entire rental unit,Entire home/apt,2,1,1,1,1026,6.933423025730715,48,49248,4.54,4.57,4.66,4.74,4.71,4.4,NA,NA,NA,NA,NA,NA,2016-09-09,2025-03-30,35
1288566,540705,Miguel Hidalgo,"Mexico City, Federal District, Mexico",Miguel Hidalgo,19.43179,-99.19426,Entire rental unit,Entire home/apt,2,1,1.5,1,4144,8.329416783939319,255,1056720,4.89,4.93,4.91,4.87,4.97,4.81,NA,NA,NA,NA,NA,NA,2016-03-11,2025-06-23,217
1309198,7116734,Coyoacán,"Mexico City, Federal District, Mexico",Coyoacán,19.34356,-99.1286,Private room in home,Private room,2,1,1,1,500,6.214608098422191,6,3000,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,2018-08-10,2024-07-31,2
1363110,6409883,Benito Juárez,"Mexico City, Federal District, Mexico",Benito Juárez,19.39165,-99.18885,Private room in rental unit,Private room,2,1,1,1,348,5.8522024797744745,0,0,4.88,4.88,5,4.96,4.54,4.77,NA,NA,NA,NA,NA,NA,2013-09-10,2018-11-12,26
1403168,7569372,Miguel Hidalgo,"Mexico City, Federal District, Mexico",Miguel Hidalgo,19.40288,-99.17884,Private room in rental unit,Private room,2,1,2,1,691,6.53813982376767,0,0,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,2020-02-26,2023-11-20,2
1403218,3777702,Cuauhtémoc,"Mexico City, Federal District, Mexico",Cuauhtémoc,19.44324,-99.14649,Entire home,Entire home/apt,16,10,5.5,16,3232,8.080856419640986,18,58176,4.83,4.78,4.75,4.96,4.48,4.79,NA,NA,NA,NA,NA,NA,2013-11-08,2025-05-04,164
1404363,5341352,Benito Juárez,"Mexico City, Mexico",Benito Juárez,19.38015,-99.17402,Entire loft,Entire home/apt,2,0,1,2,891,6.792344427470809,120,106920,4.8,4.9,4.88,4.9,4.86,4.8,NA,NA,NA,NA,NA,NA,2013-08-18,2025-06-19,144
1411454,7609684,Cuauhtémoc,NA,Cuauhtémoc,19.41701,-99.1658,Entire rental unit,Entire home/apt,2,1,1,1,1365,7.21890970761906,138,188370,4.93,4.89,4.95,4.98,4.95,4.86,NA,NA,NA,NA,NA,NA,2013-08-25,2025-05-24,368
204887,998053,Cuauhtémoc,"Mexico City, Federal District, Mexico",Cuauhtémoc,19.4059,-99.17548,Entire rental unit,Entire home/apt,2,1,1,1,741,6.608000625296087,18,13338,4.65,4.66,4.35,4.87,4.97,4.52,NA,NA,NA,NA,NA,NA,2012-07-01,2025-02-14,32
245507,1288063,Cuauhtémoc,NA,Cuauhtémoc,19.4236,-99.16979,Entire rental unit,Entire home/apt,3,1,1,2,1318,7.183870715062453,222,292596,4.85,4.89,4.86,4.94,4.89,4.83,NA,NA,NA,NA,NA,NA,2011-10-17,2025-06-13,409
246057,1288063,Cuauhtémoc,NA,Cuauhtémoc,19.42335,-99.16963,Entire condo,Entire home/apt,2,1,1,1,1703,7.440146680662688,138,235014,4.86,4.84,4.88,4.94,4.9,4.84,NA,NA,NA,NA,NA,NA,2011-11-02,2025-06-15,307
247543,1297488,Cuauhtémoc,NA,Cuauhtémoc,19.43516,-99.13806,Entire rental unit,Entire home/apt,1,1,1,1,646,6.470799503782602,208,134368,4.91,4.95,4.97,4.94,4.98,4.93,NA,NA,NA,NA,NA,NA,2011-12-17,2025-06-19,156
