alcaldia_clean,colonia_clean,alto_impacto_violación_tasa_2023,alto_impacto_robo_a_transeunte_en_vía_pública_con_y_sin_violencia_tasa_2023,alto_impacto_robo_a_negocio_con_violencia_tasa_2023,alto_impacto_robo_de_vehículo_con_y_sin_violencia_tasa_2023,alto_impacto_robo_a_repartidor_con_y_sin_violencia_tasa_2023,alto_impacto_homicidio_doloso_tasa_2023,alto_impacto_violación_tasa_2024,alto_impacto_robo_a_transeunte_en_vía_pública_con_y_sin_violencia_tasa_2024,alto_impacto_lesiones_dolosas_por_disparo_de_arma_de_fuego_tasa_2024,alto_impacto_robo_a_pasajero_a_bordo_del_metro_con_y_sin_violencia_tasa_2024,alto_impacto_robo_de_vehículo_con_y_sin_violencia_tasa_2024,alto_impacto_robo_a_repartidor_con_y_sin_violencia_tasa_2024,alto_impacto_robo_a_negocio_con_violencia_tasa_2024,alto_impacto_robo_a_pasajero_a_bordo_de_microbus_con_y_sin_violencia_tasa_2024,alto_impacto_homicidio_doloso_tasa_2024,alto_impacto_robo_a_pasajero_a_bordo_de_taxi_con_violencia_tasa_2024,alto_impacto_robo_a_transeunte_en_vía_pública_con_y_sin_violencia_tasa_2025,alto_impacto_robo_a_negocio_con_violencia_tasa_2025,alto_impacto_lesiones_dolosas_por_disparo_de_arma_de_fuego_tasa_2025,alto_impacto_robo_a_repartidor_con_y_sin_violencia_tasa_2025,alto_impacto_robo_de_vehículo_con_y_sin_violencia_tasa_2025,alto_impacto_violación_tasa_2025,alto_impacto_homicidio_doloso_tasa_2025,alto_impacto_robo_a_casa_habitación_con_violencia_tasa_2025,alto_impacto_robo_a_pasajero_a_bordo_de_microbus_con_y_sin_violencia_tasa_2025,alto_impacto_robo_a_pasajero_a_bordo_de_taxi_con_violencia_tasa_2025,alto_impacto_robo_a_pasajero_a_bordo_del_metro_con_y_sin_violencia_tasa_2025,alto_impacto_robo_a_cuentahabiente_saliendo_del_cajero_con_violencia_tasa_2025,alto_impacto_robo_a_transportista_con_y_sin_violencia_tasa_2025,alto_impacto_secuestro_tasa_2025,alto_impacto_total_tasa_2023,alto_impacto_total_tasa_2024,alto_impacto_total_tasa_2025
alvaro obregon,acueducto,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000905305087814594,0.00073909830007391,0.00309597523219814,0.0025706940874036,0.000225988700564972,0.000904977375565611,0.0031201248049922,0,0,0,0,0,0,0,0.0185185185185185,0,0.000789837425129994
alvaro obregon,zedec santa fe,0.05,0,0,0,0,0,0.00606060606060606,0,0,0,0,0,0,0,0,0,0.00217273221075502,0.00073909830007391,0,0.0025706940874036,0.0015819209039548,0.00271493212669683,0,0,0,0,0,0,0,0,0.037037037037037,0.001953125,0.00157967485025999
azcapotzalco,nuevo barrio san rafael,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000181061017562919,0,0,0,0.000225988700564972,0,0,0,0,0,0,0,0,0,0.0185185185185185,0,0.000131639570854999
azcapotzalco,tezozomoc,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00126742712294043,0.00073909830007391,0,0,0.000225988700564972,0.00180995475113122,0,0,0,0,0.00104384133611691,0,0,0,0.0185185185185185,0,0.000789837425129994
benito juarez,del valle centro,0,0,1,0,0,0,0,0,0,0,0.00735294117647059,0,0,0,0,0,0.00615607459713924,0.00886917960088692,0.00309597523219814,0.0025706940874036,0.00768361581920904,0.0135746606334842,0.0015600624024961,0.0116959064327485,0.00617283950617284,0.015625,0.00939457202505219,0.0508474576271187,0,0,0.0185185185185185,0.001953125,0.00750345553873494
benito juarez,general pedro maria anaya,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.00108636610537751,0,0,0,0.00135593220338983,0.00180995475113122,0,0,0,0,0,0,0,0,0.0185185185185185,0,0.000921476995984993
benito juarez,portales oriente,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000905305087814594,0.00147819660014782,0,0,0.000903954802259887,0,0,0,0.0123456790123457,0,0,0,0,0,0.0185185185185185,0,0.000855657210557494
coyoacan,pedregal de santa ursula,0.025,0,0,0,0,0,0,0.00909090909090909,0,0,0,0,0,0,0,0,0.00470758645663589,0.0147819660014782,0.00619195046439629,0.0051413881748072,0.00429378531073446,0.00271493212669683,0.0031201248049922,0,0,0,0,0,0,0,0.0185185185185185,0.001953125,0.00487066412163496
cuajimalpa de morelos,contadero,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000181061017562919,0,0,0,0.000225988700564972,0.00180995475113122,0,0.00584795321637427,0,0,0,0,0,0,0.0185185185185185,0,0.000329098927137498
cuajimalpa de morelos,san mateo tlaltenango,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000362122035125837,0.00073909830007391,0,0,0.000677966101694915,0.00180995475113122,0.0015600624024961,0,0,0,0,0,0,0,0.0185185185185185,0,0.000592378068847496
