neighbourhood_clean,n_listings,dist_media_m,dist_mediana_m,dist_min_m,dist_max_m
cuauhtemoc,12113,118.268158558332,104.380292157374,1.04986572298435,492.712152112668
azcapotzalco,374,150.311091018311,108.86615276406,0,689.71553631795
miguel hidalgo,4486,153.275177811175,123.85615463353,0,611.380538169654
alvaro obregon,968,162.468349431785,127.541375815395,5.81551223114311,2925.77352287763
gustavo a madero,525,170.078327273715,150.521523703801,4.4527796312803,544.072822304717
iztacalco,447,172.472786412219,152.556896222607,8.07042463986155,550.819305504803
venustiano carranza,877,176.799921151382,137.300948702227,4.57485937704452,885.855779928773
coyoacan,1715,192.902092924441,160.233924661296,0,1066.27205422965
benito juarez,3051,206.862045856599,180.447624712053,2.72741436494766,744.077147338019
cuajimalpa de morelos,424,215.568349768129,168.851290766551,5.36766320922131,897.52872524759
iztapalapa,280,269.67473493912,192.753605852177,17.8618315849189,1181.86310564273
la magdalena contreras,135,278.133025517743,183.45759525153,8.40909285101063,3271.48868063738
xochimilco,149,309.138939704007,207.626256775513,15.7257741166651,1368.06805271246
tlahuac,44,395.764710785615,315.984422162681,17.7068013174707,1120.25621300797
tlalpan,783,427.098528678596,260.352477326309,2.46189277885927,4502.14904568702
milpa alta,30,618.199862765655,456.598299897839,72.1725724382352,2727.36934516467
