colonia_geo,alcaldia_geo,tasa_promedio,num_airbnbs
centro,cuauhtemoc,0.0350819456328572,815
agricola pantitlan,iztacalco,0.0102020667412624,48
agricola oriental,iztacalco,0.00862239189100244,23
guerrero,cuauhtemoc,0.00855657210557494,132
doctores,cuauhtemoc,0.00822747317843744,442
granjas mexico,iztacalco,0.00822747317843744,30
roma norte,cuauhtemoc,0.00816165339300994,1624
central de abasto,iztapalapa,0.00789837425129994,11
del valle centro,benito juarez,0.00750345553873494,234
pedregal de santo domingo,coyoacan,0.00697689725531495,28
tacubaya,miguel hidalgo,0.00618705983018495,30
buenavista,cuauhtemoc,0.00605542025932996,111
juarez,cuauhtemoc,0.00592378068847496,950
morelos,cuauhtemoc,0.00546304219048246,28
portales sur,benito juarez,0.00519976304877246,97
jardin balbuena,venustiano carranza,0.00500230369248996,45
zona centro,venustiano carranza,0.00500230369248996,40
moctezuma 2a seccion,venustiano carranza,0.00487066412163496,87
obrera,cuauhtemoc,0.00487066412163496,37
pedregal de santa ursula,coyoacan,0.00487066412163496,14
